date,rows_total,non_na_count
2023-04-02,96,96
2023-04-03,96,96
2023-04-04,96,96
2023-04-05,96,96
2023-04-06,96,96
2023-04-07,96,96
2023-04-08,96,96
2023-04-09,96,96
2023-04-10,96,96
2023-04-11,96,96
2023-04-12,96,96
2023-04-13,96,96
2023-04-14,96,96
2023-04-15,96,96
2023-04-16,96,96
2023-04-17,96,96
2023-04-18,96,96
2023-04-19,96,96
2023-04-20,96,96
2023-04-21,96,96
2023-04-22,96,96
2023-04-23,96,96
2023-04-24,96,96
2023-04-25,96,96
2023-04-26,96,96
2023-04-27,96,96
2023-04-28,96,96
2023-04-29,96,96
2023-04-30,96,96
2023-05-01,96,96
2023-05-02,96,96
2023-05-03,96,96
2023-05-04,96,96
2023-05-05,96,96
2023-05-06,96,96
2023-05-07,96,96
2023-05-08,96,96
2023-05-09,96,96
2023-05-10,96,96
2023-05-11,96,96
2023-05-12,96,96
2023-05-13,96,96
2023-05-14,96,96
2023-05-15,96,96
2023-05-16,96,96
2023-05-17,96,96
2023-05-18,96,96
2023-05-19,96,96
2023-05-20,96,96
2023-05-21,96,96
2023-05-22,96,96
2023-05-23,96,96
2023-05-24,96,96
2023-05-25,96,96
2023-05-26,96,96
2023-05-27,96,96
2023-05-28,96,96
2023-05-29,96,96
2023-05-30,96,96
2023-05-31,96,96
2023-06-01,96,96
2023-06-02,96,96
2023-06-03,96,96
2023-06-04,96,96
2023-06-05,96,96
2023-06-06,96,96
2023-06-07,96,96
2023-06-08,96,96
2023-06-09,96,96
2023-06-10,96,96
2023-06-11,96,96
2023-06-12,96,96
2023-06-13,96,96
2023-06-14,96,96
2023-06-15,96,96
2023-06-16,96,96
2023-06-17,96,96
2023-06-18,96,96
2023-06-19,96,96
2023-06-20,96,96
2023-06-21,96,96
2023-06-22,96,96
2023-06-23,96,96
2023-06-24,96,96
2023-06-25,96,96
2023-06-26,96,96
2023-06-27,96,96
2023-06-28,96,96
2023-06-29,96,96
2023-06-30,96,96
2023-07-01,96,96
2023-07-02,96,96
2023-07-03,96,96
2023-07-04,96,96
2023-07-05,96,96
2023-07-06,96,96
2023-07-07,96,96
2023-07-08,96,96
2023-07-09,96,96
2023-07-10,96,96
2023-07-11,96,96
2023-07-12,96,96
2023-07-13,96,96
2023-07-14,96,96
2023-07-15,96,96
2023-07-16,96,96
2023-07-17,96,96
2023-07-18,96,96
2023-07-19,96,96
2023-07-20,96,96
2023-07-21,96,96
2023-07-22,96,96
2023-07-23,96,96
2023-07-24,96,96
2023-07-25,96,96
2023-07-26,96,96
2023-07-27,96,96
2023-07-28,96,96
2023-07-29,96,96
2023-07-30,96,96
2023-07-31,96,96
2023-08-01,96,96
2023-08-02,96,96
2023-08-03,96,96
2023-08-04,96,96
2023-08-05,96,96
2023-08-06,96,96
2023-08-07,96,96
2023-08-08,96,96
2023-08-09,96,96
2023-08-10,96,96
2023-08-11,96,96
2023-08-12,96,96
2023-08-13,96,96
