pareto_point,scenario,emissions_cap_kgco2,annual_cost_burden_rp,net_annual_profit_chf,annual_emissions_burden_kgco2,annual_grid_import_kwh,annual_grid_export_kwh,annual_grid_use_h,annual_battery_charge_kwh,annual_battery_discharge_kwh
0,emissions_anchor,4193935.1289140997,-199079661.14529604,1990796.6114529604,4193935.1289140997,10657258.907824999,20090565.461,7686.956092206249,10088164.418717949,9583756.19778205
1,epsilon_constrained_cost,4200701.691774248,-223463489.59054643,2234634.8959054644,4200701.691773833,10673512.000562053,20127176.140604608,7700.172035291665,9879368.655973833,9385400.22317514
2,epsilon_constrained_cost,4207468.254634397,-224201624.76216573,2242016.2476216573,4207468.254634025,10681793.202440511,20171758.711071398,7713.387978377978,9507046.926862694,9031694.58051956
3,epsilon_constrained_cost,4214234.817494546,-224695627.09952593,2246956.2709952593,4214234.817494212,10684045.636684429,20222370.049172692,7726.603921464281,9011058.169351108,8560505.260883555
4,epsilon_constrained_cost,4221001.380354695,-225127376.8834415,2251273.768834415,4221001.380354392,10686133.267223021,20273146.190979265,7739.819864550572,8511688.823012851,8086104.381862208
5,epsilon_constrained_cost,4227767.943214843,-225520888.0814339,2255208.880814339,4227767.94321457,10686738.5707607,20325404.659786724,7753.035807636856,7981912.768963854,7582817.130515661
6,epsilon_constrained_cost,4234534.506074992,-225890119.99057245,2258901.1999057247,4234534.506074768,10687302.189725392,20377704.813167326,7766.25175072318,7451281.646749401,7078717.564411931
7,epsilon_constrained_cost,4241301.068935141,-226236226.4022923,2262362.264022923,4241301.068934959,10687693.71922476,20430177.056013204,7779.467693809491,6917120.48422106,6571264.460010007
8,epsilon_constrained_cost,4248067.63179529,-226561190.23065186,2265611.9023065185,4248067.631795148,10687935.897645177,20482798.649938017,7792.683636895798,6379895.709817059,6060900.9243262075
9,epsilon_constrained_cost,4254834.194655438,-226859682.7854861,2268596.827854861,4254834.194655336,10689192.518072132,20534405.80185628,7805.899579982103,5863480.002213817,5570306.002103126
10,epsilon_constrained_cost,4261600.757515587,-227130809.49519694,2271308.0949519696,4261600.757515529,10690417.031388713,20586045.060884953,7819.115523068417,5346405.687218075,5079085.402857171
11,epsilon_constrained_cost,4268367.320375736,-227374510.62997657,2273745.106299766,4268367.320375723,10691220.08195024,20638105.78266869,7832.331466154733,4820685.982374838,4579651.683256095
12,epsilon_constrained_cost,4275133.883235885,-227593701.4693148,2275937.014693148,4275133.88323592,10694192.009095479,20687997.62786874,7845.547409241055,4339456.053607585,4122483.2509272066
13,epsilon_constrained_cost,4281900.446096034,-227788106.9645896,2277881.069645896,4281900.446096082,10696275.025171362,20738778.384137876,7858.76335232731,3839992.0516255135,3647992.449044238
14,epsilon_constrained_cost,4288667.008956182,-227956382.29485536,2279563.8229485536,4288667.008956227,10699424.911737405,20788492.269916713,7871.979295413529,3362412.57251991,3194291.9438939146
15,epsilon_constrained_cost,4295433.571816331,-228099300.87200183,2280993.0087200184,4295433.571816372,10707114.063437246,20833666.890561752,7885.195238499749,2977946.224364049,2829048.913145846
16,epsilon_constrained_cost,4302200.13467648,-228206050.9890833,2282060.509890833,4302200.134676517,10720269.452350669,20873375.273993216,7898.4111815859715,2705607.8190507805,2570327.428098242
17,epsilon_constrained_cost,4308966.697536629,-228274439.3086033,2282744.393086033,4308966.697536663,10737048.036998294,20909460.461690478,7911.6271246721935,2507591.377516043,2382211.8086402407
18,epsilon_constrained_cost,4315733.260396777,-228312141.33658016,2283121.413365802,4315733.260396809,10758301.808530116,20941070.462503545,7924.843067758415,2401373.6412981595,2281304.9592332514
19,epsilon_constrained_cost,4322499.823256926,-228331234.82827395,2283312.3482827395,4322499.823256959,10780798.112655643,20971437.930722944,7938.059010844647,2320643.7531558946,2204611.5654980997
20,cost_anchor,4329266.386117075,-228337378.96538985,2283373.7896538987,4329266.386117075,10803538.020341896,21001561.79538134,7951.274953930809,2244910.8611338953,2132665.318077201
