pareto_point,scenario,emissions_cap_kgco2,annual_cost_burden_rp,net_annual_profit_chf,annual_emissions_burden_kgco2,annual_grid_import_kwh,annual_grid_export_kwh,annual_grid_use_h,annual_battery_charge_kwh,annual_battery_discharge_kwh
0,emissions_anchor,4193935.1289140997,-199079661.14529604,1990796.6114529604,4193935.1289140997,10657258.907824999,20090565.461,7686.956092206249,10088164.418717949,9583756.19778205
1,epsilon_constrained_cost,4196696.991305997,-222488890.22304535,2224888.9022304537,4196696.991305576,10663988.326000575,20105413.09275783,7692.350354689601,10004900.689669225,9504655.655185763
2,epsilon_constrained_cost,4199458.853697894,-223231767.62214744,2232317.6762214745,4199458.853697476,10670279.067700088,20120699.40099504,7697.744617173782,9912638.468769714,9417006.545331229
3,epsilon_constrained_cost,4202220.716089792,-223688745.5622177,2236887.455622177,4202220.716089379,10676624.492637958,20135931.025993913,7703.138879657968,9821497.9553235,9330423.057557326
4,epsilon_constrained_cost,4204982.578481689,-223987037.04662997,2239870.3704663,4204982.578481298,10680442.017825773,20153690.550742958,7708.533142142182,9678503.088028885,9194577.933627442
5,epsilon_constrained_cost,4207744.440873587,-224223794.06977952,2242237.9406977952,4207744.440873216,10681793.202440511,20173916.41606508,7713.927404626397,9484916.619235195,9010670.788273435
6,epsilon_constrained_cost,4210506.303265484,-224433436.02126604,2244334.3602126604,4210506.30326513,10682974.89050538,20194311.77793704,7719.321667110605,9287853.298136849,8823460.633230004
7,epsilon_constrained_cost,4213268.1656573815,-224629614.51411295,2246296.1451411294,4213268.1656570425,10683801.083910618,20215062.634468623,7724.71592959481,9083497.778892271,8629322.889947658
8,epsilon_constrained_cost,4216030.028049279,-224815091.12642086,2248150.9112642086,4216030.028048953,10684401.435746782,20236039.33256926,7730.110192079011,8874509.612077158,8430784.131473301
9,epsilon_constrained_cost,4218791.8904411765,-224991662.7336681,2249916.627336681,4218791.890440862,10685115.652378922,20256902.1658739,7735.504454563206,8667857.133384816,8234464.276715575
10,epsilon_constrained_cost,4221553.752833074,-225160636.49822557,2251606.3649822557,4221553.752832775,10686143.20598302,20277451.662206627,7740.898717047412,8467632.079757879,8044250.475769984
11,epsilon_constrained_cost,4224315.615224971,-225323479.93696082,2253234.799369608,4224315.615224687,10686513.563859891,20298658.354266573,7746.292979531616,8253926.088136603,7841229.783729772
12,epsilon_constrained_cost,4227077.477616869,-225481853.86957395,2254818.5386957396,4227077.477616592,10686737.472278707,20320011.495784514,7751.687242015805,8037216.00506861,7635355.204815179
13,epsilon_constrained_cost,4229839.340008766,-225636643.89752024,2256366.4389752024,4229839.3400085075,10686753.637480045,20341572.380520012,7757.0815045000145,7816244.522667022,7425432.29653367
14,epsilon_constrained_cost,4232601.202400664,-225787077.04900873,2257870.770490087,4232601.202400425,10687104.061446805,20362799.00649011,7762.475766984229,7602129.630325067,7222023.148808815
15,epsilon_constrained_cost,4235363.064792561,-225933781.77418637,2259337.817741864,4235363.064792343,10687302.189725392,20384177.928148385,7767.870029468444,7384890.723866733,7015646.187673396
16,epsilon_constrained_cost,4238124.927184459,-226076555.96326947,2260765.559632695,4238124.927184259,10687653.072798168,20405404.095012445,7773.2642919526525,7170785.249084339,6812245.986630123
17,epsilon_constrained_cost,4240886.789576356,-226215653.73424995,2262156.5373424995,4240886.789576173,10687653.072798168,20426981.144949272,7778.658554436861,6949482.172809221,6602008.064168759
18,epsilon_constrained_cost,4243648.651968254,-226351483.89052272,2263514.8389052274,4243648.651968086,10687721.199210301,20448490.068473965,7784.052816921067,6729576.561398318,6393097.733328402
19,epsilon_constrained_cost,4246410.514360151,-226483748.19263572,2264837.4819263574,4246410.514360001,10687871.338853486,20469916.978767622,7789.447079405277,6511353.272675533,6185785.609041755
20,epsilon_constrained_cost,4249172.376752049,-226611801.56424057,2266118.015642406,4249172.376751915,10687935.897645177,20491429.46991275,7794.841341889482,6291374.479306983,5976805.755341633
21,epsilon_constrained_cost,4251934.239143946,-226734932.2747978,2267349.322747978,4251934.239143828,10688229.69081191,20512712.72668284,7800.235604373688,6076097.929528888,5772293.0330524435
22,epsilon_constrained_cost,4254696.101535844,-226853860.0353784,2268538.600353784,4254696.101535741,10689192.518072132,20533326.94935944,7805.629866857893,5874545.15602758,5580817.8982262015
23,epsilon_constrained_cost,4257457.963927741,-226968464.8016796,2269684.648016796,4257457.963927658,10689930.279283682,20554166.23808474,7811.024129342105,5668375.643066075,5384956.860912772
24,epsilon_constrained_cost,4260219.826319639,-227077899.39536524,2270778.993953652,4260219.826319573,10690305.804948714,20575367.762356546,7816.418391826315,5454775.657355549,5182036.874487773
25,epsilon_constrained_cost,4262981.688711536,-227182638.18559766,2271826.381855977,4262981.688711489,10690759.590031534,20596491.027210563,7821.8126543105245,5242780.9930355875,4980641.943383808
26,epsilon_constrained_cost,4265743.551103434,-227282824.47584522,2272828.2447584523,4265743.551103407,10690900.222532425,20617927.444646534,7827.206916794739,5024362.686009158,4773144.5517087
27,epsilon_constrained_cost,4268505.413495331,-227379243.2955792,2273792.432955792,4268505.413495319,10691220.08195024,20639184.635165535,7832.601179278944,4809620.828561049,4569139.787132997
28,epsilon_constrained_cost,4271267.275887229,-227471283.68670696,2274712.83686707,4271267.275887238,10692517.297571894,20659464.469480745,7837.99544176316,4614927.3034989415,4384180.938323995
29,epsilon_constrained_cost,4274029.138279126,-227559410.94567144,2275594.1094567142,4274029.138279153,10693273.017863678,20680285.799125798,7843.389704247368,4409126.181926947,4188669.8728306005
30,epsilon_constrained_cost,4276791.0006710235,-227643727.14741647,2276437.271474165,4276791.000671069,10694907.652823016,20700228.214103304,7848.78396673158,4221354.079176508,4010286.3752176818
31,epsilon_constrained_cost,4279552.863062921,-227723622.3559618,2277236.223559618,4279552.86306297,10695675.315623308,20721037.60123974,7854.178229215761,4015797.9321391485,3815008.0355321914
32,epsilon_constrained_cost,4282314.725454818,-227799132.77113247,2277991.3277113247,4282314.725454866,10697568.166577032,20740721.800222706,7859.572491699934,3833322.5677366685,3641656.4393498357
33,epsilon_constrained_cost,4285076.587846715,-227870269.90297842,2278702.699029784,4285076.587846761,10698584.705416132,20761282.311320283,7864.966754184104,3632871.5702137956,3451227.991703106
