pareto_point,scenario,emissions_cap_kgco2,annual_cost_burden_rp,net_annual_profit_chf,annual_emissions_burden_kgco2,annual_grid_import_kwh,annual_grid_export_kwh,annual_grid_use_h,annual_battery_charge_kwh,annual_battery_discharge_kwh
0,emissions_anchor,4243898.91461202,-307880845.056619,3078808.45056619,4243898.91461202,10853908.301900001,20284258.14269,7784.541611147501,10118489.673948716,9612565.190251283
1,epsilon_constrained_cost,4246298.214026104,-315339849.7804094,3153398.497804094,4246298.214025751,10856255.243172742,20300655.72808703,7789.227742814943,9974380.503443211,9475661.47827105
2,epsilon_constrained_cost,4248697.513440186,-315543458.1833338,3155434.5818333384,4248697.513439843,10856382.57979324,20319272.91813913,7793.9138744830925,9784740.981067814,9295503.932014424
3,epsilon_constrained_cost,4251096.8128542695,-315726233.65191185,3157262.3365191184,4251096.812853938,10856493.421898503,20337906.602706484,7798.600006151247,9594763.10966175,9115024.954178661
4,epsilon_constrained_cost,4253496.112268353,-315898031.8601035,3158980.318601035,4253496.112268031,10856552.013094764,20356592.538182817,7803.286137819396,9403713.424737915,8933527.753501019
5,epsilon_constrained_cost,4255895.411682435,-316061744.2637535,3160617.442637535,4255895.411682122,10856647.683767894,20375241.394182276,7807.972269487543,9213424.344467888,8752753.127244491
6,epsilon_constrained_cost,4258294.711096519,-316218440.3230604,3162184.403230604,4258294.711096215,10856689.115152132,20393944.48947064,7812.658401155692,9022022.663399938,8570921.530229941
7,epsilon_constrained_cost,4260694.010510602,-316369164.7721758,3163691.647721758,4260694.010510305,10856726.470430303,20412651.66086505,7817.344532823839,8830537.369900046,8389010.501405044
8,epsilon_constrained_cost,4263093.309924684,-316514910.09053636,3165149.1009053634,4263093.309924398,10857116.470430305,20431006.187537648,7822.030664491988,8646285.814283654,8213971.52356947
9,epsilon_constrained_cost,4265492.609338768,-316656943.7263905,3166569.4372639046,4265492.609338493,10857149.315128366,20449717.8695122,7826.716796160141,8454707.996063236,8031972.596260074
10,epsilon_constrained_cost,4267891.908752851,-316796132.54196507,3167961.325419651,4267891.908752584,10857180.863655485,20468430.847657673,7831.40292782829,8263103.589721134,7849948.410235078
11,epsilon_constrained_cost,4270291.208166934,-316932624.79871094,3169326.2479871092,4270291.2081666775,10857180.863655485,20487175.374330275,7836.08905949644,8070852.034104738,7667309.432399502
12,epsilon_constrained_cost,4272690.507581017,-317066946.571452,3170669.4657145203,4272690.507580768,10857180.863655485,20505919.901002865,7840.775191164587,7878600.478488393,7484670.4545639735
13,epsilon_constrained_cost,4275089.8069951,-317198447.11771584,3171984.4711771584,4275089.806994862,10857394.468477195,20524450.82285376,7845.461322832739,7690730.56024039,7306194.03222837
