pareto_point,scenario,emissions_cap_kgco2,annual_cost_burden_rp,net_annual_profit_chf,annual_emissions_burden_kgco2,annual_grid_import_kwh,annual_grid_export_kwh,annual_grid_use_h,annual_battery_charge_kwh,annual_battery_discharge_kwh
0,emissions_anchor,5912677.996702041,161594475.08042896,-1615944.7508042895,5912677.996702041,10407102.546595,33346892.158260003,10938.49867621375,24550115.613692306,23322609.833007693
1,epsilon_constrained_cost,5920080.529899093,116157722.0316633,-1161577.220316633,5920080.529899085,10435243.982601764,33376583.012855142,10952.956748864226,24534224.14099096,23307512.933941416
2,epsilon_constrained_cost,5927483.063096146,113361258.05439782,-1133612.5805439781,5927483.063096162,10446204.801396288,33423454.48466279,10967.41482151477,24165909.751112804,22957614.263557166
3,epsilon_constrained_cost,5934885.596293199,111671358.03922558,-1116713.5803922557,5934885.596293215,10460209.565080546,33467282.01158051,10981.872894165263,23860035.256410643,22667033.493590113
4,epsilon_constrained_cost,5942288.129490253,110564283.03362459,-1105642.830336246,5942288.129490293,10479737.759644622,33505586.1076186,10996.330966815805,23667461.907959208,22484088.812561247
5,epsilon_constrained_cost,5949690.662687305,109845917.83782065,-1098459.1783782064,5949690.662687336,10490331.933358166,33552824.224506952,11010.78903946628,23291626.593345806,22127045.263678517
6,epsilon_constrained_cost,5957093.195884358,109266385.04003578,-1092663.8504003577,5957093.195884373,10496055.744980566,33604932.70348641,11025.247112116745,22815886.415324643,21675092.094558414
7,epsilon_constrained_cost,5964495.729081411,108765603.08444172,-1087656.0308444172,5964495.729081418,10500875.016730133,33657945.72233876,11039.705184767225,22321591.57324481,21205511.99458266
8,epsilon_constrained_cost,5971898.262278464,108311144.7160266,-1083111.447160266,5971898.262278488,10503939.456689779,33712713.57298122,11054.16325741775,21791300.18162612,20701735.172544815
9,epsilon_constrained_cost,5979300.7954755165,107885093.11009061,-1078850.931100906,5979300.795475548,10505441.37787153,33769043.9424015,11068.621330068258,21228957.122769553,20167509.266631074
10,epsilon_constrained_cost,5986703.32867257,107480497.39782947,-1074804.9739782948,5986703.328672625,10506452.905005,33825864.705870196,11083.079402718799,20656554.698818512,19623726.96387758
11,epsilon_constrained_cost,5994105.861869623,107087402.45682406,-1070874.0245682406,5994105.861869653,10506926.673769273,33883223.2277077,11097.537475369243,20073121.333964832,19069465.26726659
12,epsilon_constrained_cost,6001508.395066676,106704172.18070298,-1067041.7218070298,6001508.395066721,10507794.996093575,33940187.195985496,11111.995548019766,19497781.37546746,18522892.30669409
13,epsilon_constrained_cost,6008910.9282637285,106330754.73526758,-1063307.5473526758,6008910.928263782,10508148.205283895,33997666.277397215,11126.453620670278,18911874.99370951,17966281.24402403
14,epsilon_constrained_cost,6016313.461460781,105971330.42794955,-1059713.3042794955,6016313.461460829,10509062.387925174,34054584.385357864,11140.911693320759,18337475.759664703,17420601.97168147
15,epsilon_constrained_cost,6023715.994657834,105626804.94372219,-1056268.0494372218,6023715.994657879,10510646.390994161,34110832.67289083,11155.369765971247,17776816.431829043,16887975.61023759
16,epsilon_constrained_cost,6031118.527854888,105299648.63907051,-1052996.4863907052,6031118.527854929,10512373.574533578,34166937.77995336,11169.827838621735,17219094.13928425,16358139.432320036
17,epsilon_constrained_cost,6038521.061051941,104986153.55991006,-1049861.5355991006,6038521.061051975,10513699.158400696,34223444.48668817,11184.285911272216,16653133.90474391,15820477.209506717
18,epsilon_constrained_cost,6045923.594248993,104690916.35249728,-1046909.1635249727,6045923.594249021,10515663.834862197,34279312.10082859,11198.743983922695,16100283.26188307,15295269.098788917
19,epsilon_constrained_cost,6053326.127446046,104419700.84701312,-1044197.0084701312,6053326.127446083,10517309.273410082,34335498.95288275,11213.20205657321,15540884.148998253,14763839.941548338
20,epsilon_constrained_cost,6060728.660643099,104161962.59532845,-1041619.6259532846,6060728.660643131,10518243.250530433,34392397.266364336,11227.660129223694,14966890.955549793,14218546.4077723
21,epsilon_constrained_cost,6068131.193840152,103917806.11685264,-1039178.0611685264,6068131.193840176,10519168.17840086,34449304.62909582,11242.118201874171,14392712.136461904,13673076.529638808
22,epsilon_constrained_cost,6075533.727037205,103686253.83578002,-1036862.5383578002,6075533.727037241,10526651.66591324,34499653.432185516,11256.576274524688,13953067.874130491,13255414.480423968
23,epsilon_constrained_cost,6082936.260234258,103468393.94527155,-1034683.9394527156,6082936.260234283,10528637.22807053,34555500.16063012,11271.034347175162,13400645.655799087,12730613.37300913
24,epsilon_constrained_cost,6090338.793431311,103262169.92279613,-1032621.6992279612,6090338.793431353,10530813.593172647,34611156.08613011,11285.49241982569,12852137.344025929,12209530.47682463
25,epsilon_constrained_cost,6097741.326628364,103069644.58532888,-1030696.4458532888,6097741.326628322,10538456.851895312,34661345.118008755,11299.950492476017,12415770.439862084,11794981.917868977
26,epsilon_constrained_cost,6105143.8598254165,102892999.50756419,-1028929.9950756419,6105143.859825449,10542810.788327161,34714823.472179465,11314.408565126658,11911930.257925047,11316333.745028794
27,epsilon_constrained_cost,6112546.393022469,102727194.08830363,-1027271.9408830362,6112546.393022475,10547981.99390148,34767484.557206914,11328.866637777097,11424854.571226317,10853611.842665002
