pareto_point,scenario,emissions_cap_kgco2,battery_installed,annual_cost_burden_rp,net_annual_profit_chf,annual_emissions_burden_kgco2,annual_grid_import_kwh,annual_grid_export_kwh,annual_grid_use_h,annual_battery_charge_kwh,annual_battery_discharge_kwh
0,emissions_anchor,5912677.996702041,1.0,723201905.5998865,-7232019.0559988655,5912677.996702041,10407102.546595,33346892.158260003,10938.49867621375,24550115.613692306,23322609.833007693
1,epsilon_constrained_cost,5933767.130955769,1.0,489275363.3875907,-4892753.633875907,5933767.130955782,10457383.965729857,33461369.600482494,10979.688391553087,23891694.864075493,22697110.120871715
2,epsilon_constrained_cost,5954856.265209496,1.0,486824085.83529717,-4868240.858352971,5954856.265209509,10493944.204283327,33589568.22328627,11020.8781068924,22951813.999969803,21804223.299971312
3,epsilon_constrained_cost,5975945.399463224,1.0,485469337.2466836,-4854693.372466836,5975945.399463269,10504419.350313779,33743851.93861332,11062.067822231773,21476854.314876527,20403011.599132698
4,epsilon_constrained_cost,5997034.533716952,1.0,484328294.21237016,-4843282.942123702,5997034.533717005,10507131.781445464,33905898.36883894,11103.257537571102,19842659.452374574,18850526.47975584
5,epsilon_constrained_cost,6018123.667970681,1.0,483279288.70230764,-4832792.887023076,6018123.667970747,10509547.76364222,34068241.24799955,11144.447252910442,18202383.58607866,17292264.406774726
6,epsilon_constrained_cost,6039212.802224409,1.0,482351074.3979604,-4823510.743979604,6039212.802224444,10513699.158400696,34228848.71459808,11185.636968249693,16597705.926180646,15767820.629871614
7,epsilon_constrained_cost,6060301.936478136,1.0,481569982.61855423,-4815699.826185542,6060301.936478159,10518243.250530433,34389063.4838255,11226.82668358898,15001083.596973723,14251029.417125039
8,epsilon_constrained_cost,6081391.070731864,1.0,480906267.543582,-4809062.675435821,6081391.070731891,10528369.217165206,34543696.378548004,11268.016398928303,13518961.25761231,12843013.194731694
9,epsilon_constrained_cost,6102480.2049855925,1.0,480348262.53640395,-4803482.625364039,6102480.204985613,10539527.9931914,34697296.46387901,11309.206114267603,12058024.7519219,11455123.514325801
10,epsilon_constrained_cost,6123569.33923932,1.0,479887207.52276206,-4798872.075227621,6123569.339239317,10564521.845978785,34837061.472448684,11350.395829606869,10880884.692616388,10336840.457985569
11,epsilon_constrained_cost,6144658.473493048,1.0,479500669.15300095,-4795006.69153001,6144658.473493054,10601312.767877012,34965029.41190778,11391.585544946198,9945735.794556271,9448449.004828457
12,epsilon_constrained_cost,6165747.607746776,1.0,479229676.33199334,-4792296.763319934,6165747.607746759,10655217.97834179,35075883.06280008,11432.775260285467,9361649.226068748,8893566.764765311
13,epsilon_constrained_cost,6186836.742000504,1.0,479035814.7668389,-4790358.147668389,6186836.742000597,10712671.225435436,35183188.67706454,11473.964975624993,8850342.8961117,8407825.751306113
14,epsilon_constrained_cost,6207925.876254233,1.0,478903036.13664687,-4789030.3613664685,6207925.876254201,10777736.737663787,35282882.02619247,11515.154690964066,8495185.5945776,8070426.31484872
15,epsilon_constrained_cost,6229015.01050796,1.0,478826251.7740923,-4788262.517740923,6229015.0105079245,10852190.742345681,35373186.88286779,11556.34440630337,8332612.753619426,7915982.115938455
16,epsilon_constrained_cost,6250104.144761688,1.0,478781967.5268686,-4787819.675268685,6250104.144761618,10928665.304834774,35461471.18173568,11597.534121642613,8211487.252300416,7800912.889685596
17,epsilon_constrained_cost,6271193.279015416,1.0,478763374.3074649,-4787633.743074649,6271193.279015429,11004886.256957816,35550009.09097053,11638.723836982086,8085159.487049069,7680901.5126966145
19,epsilon_constrained_cost,6313371.547522872,1.0,478762907.8629872,-4787629.078629872,6275402.1233576555,11020225.497517072,35567551.44683492,11646.944236087998,8062563.432637389,7659435.26100552
18,epsilon_constrained_cost,6292282.413269144,1.0,478762907.8629872,-4787629.078629872,6275402.123357656,11020225.497517072,35567551.44683493,11646.944236088,8062563.432637389,7659435.261005519
20,cost_anchor,6334460.6817766,0.0,-76020100.6497663,760201.006497663,6334460.6817766,10857873.024,36191298.908,11762.292983,0.0,0.0
